Date,Open,High,Low,Close,Adj Close,Volume
"Oct 2, 2024","10,325.00","10,550.00","10,325.00","10,500.00","10,136.01","86,746,200"
"Oct 1, 2024","10,400.00","10,550.00","10,375.00","10,550.00","10,184.28","59,797,700"
"Sep 30, 2024","10,475.00","10,550.00","10,325.00","10,325.00","9,967.08","144,692,100"
"Sep 27, 2024","10,500.00","10,750.00","10,400.00","10,650.00","10,280.81","93,027,400"
"Sep 26, 2024","10,875.00","10,875.00","10,675.00","10,700.00","10,329.08","84,960,100"
"Sep 25, 2024","10,675.00","10,850.00","10,525.00","10,850.00","10,473.88","158,369,100"
"Sep 24, 2024","10,775.00","10,950.00","10,775.00","10,800.00","10,425.61","105,191,100"
"Sep 23, 2024","10,725.00","10,950.00","10,725.00","10,950.00","10,570.41","72,553,800"
"Sep 20, 2024","10,900.00","10,900.00","10,775.00","10,775.00","10,401.48","142,194,600"
"Sep 19, 2024","10,700.00","10,900.00","10,650.00","10,900.00","10,522.15","140,886,600"
"Sep 18, 2024","10,500.00","10,625.00","10,450.00","10,625.00","10,256.68","65,420,200"
"Sep 17, 2024","10,450.00","10,500.00","10,350.00","10,500.00","10,136.01","89,745,000"
"Sep 13, 2024","10,400.00","10,425.00","10,325.00","10,425.00","10,063.61","70,057,100"
"Sep 12, 2024","10,450.00","10,500.00","10,375.00","10,475.00","10,111.88","70,759,100"
"Sep 11, 2024","10,425.00","10,425.00","10,350.00","10,425.00","10,063.61","64,621,300"
"Sep 10, 2024","10,350.00","10,350.00","10,275.00","10,350.00","9,991.21","55,093,100"
"Sep 9, 2024","10,300.00","10,350.00","10,200.00","10,275.00","9,918.81","36,185,100"
"Sep 6, 2024","10,225.00","10,300.00","10,225.00","10,300.00","9,942.95","31,541,800"
"Sep 5, 2024","10,350.00","10,350.00","10,250.00","10,250.00","9,894.68","39,332,900"
"Sep 4, 2024","10,150.00","10,300.00","10,125.00","10,300.00","9,942.95","44,817,000"
"Sep 3, 2024","10,325.00","10,325.00","10,150.00","10,175.00","9,822.28","50,950,200"
"Sep 2, 2024","10,375.00","10,375.00","10,200.00","10,275.00","9,918.81","72,008,600"
"Aug 30, 2024","10,325.00","10,325.00","10,200.00","10,325.00","9,967.08","158,403,700"
